#1
double PVProduction( 35041, 2 ) # Time [s]; PVout [kW]
512100;0
513000;0
513900;0
514800;0
515700;0
516600;0
517500;0
518400;0
519300;0
520200;0
521100;0
522000;0
522900;0
523800;0
524700;0
525600;0
526500;0
527400;0
528300;0
529200;0
530100;0
531000;0
531900;0
532800;0
533700;0
534600;0
535500;0
536400;0
537300;0
538200;0
539100;0
540000;0
540900;0
541800;0
542700;0
543600;0
544500;0
545400;0
546300;0
547200;0
548100;0
549000;0
549900;0.008
550800;0.008
551700;0.038
552600;0.218
553500;0.525
554400;0.803
555300;0.923
556200;1.118
557100;1.245
558000;1.358
558900;1.5
559800;1.598
560700;1.673
561600;1.748
562500;1.808
563400;1.845
564300;1.86
565200;1.883
566100;1.86
567000;1.808
567900;1.485
568800;1.185
569700;1.095
570600;0.983
571500;0.878
572400;0.758
573300;0.668
574200;0.435
575100;0.03
576000;0
576900;0
577800;0
578700;0
579600;0
580500;0
581400;0
582300;0
583200;0
584100;0
585000;0
585900;0
586800;0
587700;0
588600;0
589500;0
590400;0
591300;0
592200;0
593100;0
594000;0
594900;0
595800;0
596700;0
597600;0
598500;0
599400;0
600300;0
601200;0
602100;0
603000;0
603900;0
604800;0
605700;0
606600;0
607500;0
608400;0
609300;0
610200;0
611100;0
612000;0
612900;0
613800;0
614700;0
615600;0
616500;0
617400;0
618300;0
619200;0
620100;0
621000;0
621900;0
622800;0
623700;0
624600;0
625500;0
626400;0
627300;0
628200;0
629100;0
630000;0
630900;0
631800;0
632700;0
633600;0
634500;0.008
635400;0.068
636300;0.105
637200;0.12
638100;0.128
639000;0.135
639900;0.203
640800;0.21
641700;0.203
642600;0.233
643500;0.315
644400;0.353
645300;0.42
646200;0.51
647100;0.818
648000;0.923
648900;0.66
649800;0.615
650700;0.743
651600;1.493
652500;1.56
653400;0.923
654300;1.703
655200;1.59
656100;1.238
657000;0.893
657900;0.645
658800;0.488
659700;0.353
660600;0.398
661500;0.128
662400;0.068
663300;0.03
664200;0
665100;0
666000;0
666900;0
667800;0
668700;0
669600;0
670500;0
671400;0
672300;0
673200;0
674100;0
675000;0
675900;0
676800;0
677700;0
678600;0
679500;0
680400;0
681300;0
682200;0
683100;0
684000;0
684900;0
685800;0
686700;0
687600;0
688500;0
689400;0
690300;0
691200;0
692100;0
693000;0
693900;0
694800;0
695700;0
696600;0
697500;0
698400;0
699300;0
700200;0
701100;0
702000;0
702900;0
703800;0
704700;0
705600;0
706500;0
707400;0
708300;0
709200;0
710100;0
711000;0
711900;0
712800;0
713700;0
714600;0
715500;0
716400;0
717300;0
718200;0
719100;0
720000;0
720900;0
721800;0.015
722700;0.045
723600;0.06
724500;0.098
725400;0.12
726300;0.128
727200;0.128
728100;0.323
729000;0.398
729900;0.158
730800;0.135
731700;0.66
732600;0.78
733500;0.833
734400;0.87
735300;0.593
736200;0.608
737100;0.413
738000;0.495
738900;0.443
739800;0.248
740700;0.18
741600;0.15
742500;0.285
743400;0.465
744300;0.405
745200;0.255
746100;0.113
747000;0.045
747900;0.008
748800;0
749700;0
750600;0
751500;0
752400;0
753300;0
754200;0
755100;0
756000;0
756900;0
757800;0
758700;0
759600;0
760500;0
761400;0
762300;0
763200;0
764100;0
765000;0
765900;0
766800;0
767700;0
768600;0
769500;0
770400;0
771300;0
772200;0
773100;0
774000;0
774900;0
775800;0
776700;0
777600;0
778500;0
779400;0
780300;0
781200;0
782100;0
783000;0
783900;0
784800;0
785700;0
786600;0
787500;0
788400;0
789300;0
790200;0
791100;0
792000;0
792900;0
793800;0
794700;0
795600;0
796500;0
797400;0
798300;0
799200;0
800100;0
801000;0
801900;0
802800;0
803700;0
804600;0
805500;0
806400;0
807300;0.428
808200;0.863
809100;1.823
810000;2.963
810900;3.915
811800;6.548
812700;7.418
